name,diet,flavor_profile,course,state,region,price_in_INR_perplate,image
Balu shahi,vegetarian,sweet,sweetdish,West Bengal,East,600/kg,
Boondi,vegetarian,sweet,dessert,Rajasthan,West,400/kg,
Gajar ka halwa,vegetarian,sweet,sweetdish,Punjab,North,90,
Ghevar,vegetarian,sweet,sweetdish,Rajasthan,West,450,
Gulab jamun,vegetarian,sweet,bengalimithai,West Bengal,East,200/kg,
Jalebi,vegetarian,sweet,dessert,Uttar Pradesh,North,200/kg,
Kaju katli,vegetarian,sweet,mithai,Gujrat,west,800/kg,
Kheer,vegetarian,sweet,dessert,Maharashtra,west,50,
Laddu,vegetarian,sweet,laddu,depends on type you take.,NA,300/kg,
Lassi,vegetarian,sweet,dessert,Punjab,North,15,
Nankhatai,vegetarian,sweet,dessert,Gujrat,west,300/kg,
Petha,vegetarian,sweet,mithai,Uttar Pradesh,North,350/kg,
Phirni,vegetarian,sweet,dessert,Odisha,East,350/kg,
Rabdi,vegetarian,sweet,dessert,Uttar Pradesh,North,200/kg,
Sheera,vegetarian,sweet,dessert,Maharashtra,West,150/kg,
Sohan papdi,vegetarian,sweet,mithai,Maharashtra,West,150/kg,
Kheer sagar,vegetarian,sweet,dessert,Odisha,East,100/kg,
Malapua,vegetarian,sweet,dessert,Bihar,North,300/kg,
Misti doi,vegetarian,sweet,dessert,West Bengal,East,250/kg,
Pantua,vegetarian,sweet,dessert,West Bengal,East,150/kg,
Ras malai,vegetarian,sweet,bengalimithai,West Bengal,East,500/kg,
Rasgulla,vegetarian,sweet,bengalimithai,West Bengal,East,600/kg,
Chikki,vegetarian,sweet,dessert,Maharashtra,West,400/kg,
Kakinada khaja,vegetarian,sweet,dessert,Andhra Pradesh,South,200/kg,
Mysore pak,vegetarian,sweet,dessert,Karnataka,South,500/kg,
Pongal,vegetarian,sweet,dessert,Tamil Nadu,South,300/kg,
Sheer korma,vegetarian,sweet,dessert,Telangana,South,400/kg,
Unni Appam,vegetarian,sweet,dessert,Tamil Nadu,South,50,
Anarsa,vegetarian,sweet,TraditionMah,Maharashtra,West,300/kg,
Basundi,vegetarian,sweet,dessert,Gujarat,West,70,
Dhondas,vegetarian,sweet,dessert,Maharashtra,West,40,
Doodhpak,vegetarian,sweet,dessert,Gujarat,West,100,
Mahim halwa,vegetarian,sweet,dessert,Maharashtra,West,450/kg,
Modak,vegetarian,sweet,TraditionMah,Maharashtra,West,800/kg,
Shankarpali,vegetarian,sweet,TraditionMah,Maharashtra,West,700/kg,
Shrikhand,vegetarian,sweet,TraditionMah,Maharashtra,West,700/kg,
Sutar feni,vegetarian,sweet,dessert,Maharashtra,West,500/kg,
Aloo tikki,vegetarian,spicy,snack,Punjab,North,,
Aloo matar,vegetarian,spicy,maincourse,Punjab,North,,
Aloo shimla mirch,vegetarian,spicy,maincourse,Punjab,North,,
Bhatura,vegetarian,Normal,maincourse,Punjab,North,,
Bhindi masala,vegetarian,spicy,maincourse,Punjab,North,,
Biryani,non vegetarian,spicy,rice,,,,
Butter chicken,non vegetarian,spicy,non vegmaincourse ,NCT of Delhi,North,,
Chana masala,vegetarian,spicy,maincourse,Punjab,North,,
Chapati,vegetarian,Normal,Normal,Maharashtra,West,,
Chicken razala,non vegetarian,spicy,non vegmaincourse ,West Bengal,East,,
chicken tikka masala,non vegetarian,spicy,non veg starter,Punjab,North,,
Chicken Tikka,non vegetarian,spicy,non veg starter,Punjab,North,,
Chole bhature,vegetarian,spicy,maincourse,Punjab,North,,
Daal baati churma,vegetarian,spicy,maincourse,Rajasthan,West,,
Daal puri,vegetarian,spicy,maincourse,West Bengal,East,,
Dal makhani ,vegetarian,sweet,maincourse,Punjab,North,,
Dal tadka,vegetarian,spicy,maincourse,Punjab,North,,
Dum aloo,vegetarian,spicy,maincourse,Jammu & Kashmir,North,,
Poha,vegetarian,spicy,breakfast,Maharashtra,West,,
Kachori,vegetarian,spicy,snack,Uttar Pradesh,North,,
Kadai paneer,vegetarian,spicy,maincourse,Punjab,North,,
Kadhi pakoda,vegetarian,spicy,maincourse,Haryana,North,,
Karela bharta,vegetarian,bitter,maincourse,Punjab,North,,
Khichdi,vegetarian,spicy,maincourse,Maharashtra,west,,
Kofta,vegetarian,spicy,maincourse,Uttar Pradesh,North,,
Kulfi falooda,vegetarian,sweet,dessert,Ancient indian dish,NA,,
Lauki ke kofte,vegetarian,spicy,maincourse,Uttar Pradesh,North,,
Lauki ki subji,vegetarian,spicy,maincourse,Kashmir,North,,
Litti chokha,vegetarian,spicy,maincourse,Bihar,North,,
Makki di roti sarson da saag,vegetarian,spicy,maincourse,Punjab,North,,
Mushroom do pyaza,vegetarian,spicy,maincourse,Punjab,North,,
Mushroom matar,vegetarian,spicy,maincourse,Punjab,North,,
Naan,vegetarian,Normal,maincourse,Punjab,North,,
Navrattan korma,vegetarian,spicy,maincourse,Uttar Pradesh,North,,
Palak paneer,vegetarian,spicy,maincourse,Punjab,North,,
Paneer butter masala,vegetarian,spicy,maincourse,Punjab,North,,
Paneer tikka masala,vegetarian,spicy,maincourse,Punjab,North,,
Pani puri,vegetarian,spicy,snack,Uttar Pradesh,North,,
Panjeeri,vegetarian,sweet,dessert,Uttar Pradesh,North,,
Paratha,vegetarian,spicy,maincourse,Punjab,North,,
Rajma chaval,vegetarian,spicy,maincourse,Punjab,North,,
Samosa,vegetarian,spicy,snack,Punjab,North,,
Sattu ki roti,vegetarian,spicy,maincourse,Bihar,North,,
Shahi paneer,vegetarian,spicy,maincourse,Punjab,North,,
Shahi tukra,vegetarian,sweet,dessert,Telangana,South,,
Vegetable jalfrezi,vegetarian,spicy,maincourse,Punjab,North,,
Tandoori Chicken,non vegetarian,spicy,non vegmaincourse ,Punjab,North,,
Tandoori Fish Tikka,non vegetarian,spicy,non vegmaincourse ,Punjab,North,,
Kaara kozhambu,vegetarian,spicy,maincourse,Tamil Nadu,South,,
Keerai kootu,vegetarian,spicy,maincourse,Tamil Nadu,South,,
Keerai poriyal,vegetarian,spicy,maincourse,Tamil Nadu,South,,
Kos kootu,vegetarian,spicy,maincourse,Tamil Nadu,South,,
Koshambri,vegetarian,spicy,maincourse,Karnataka,South,,
Masala Dosa,vegetarian,spicy,snack,Tamil Nadu,South,,
Pachadi,vegetarian,sweet,maincourse,South India,South,,
Poriyal,vegetarian,spicy,maincourse,Tamil Nadu,South,,
Rassam,vegetarian,spicy,maincourse,Tamil Nadu,South,,
Sambar,vegetarian,spicy,maincourse,Tamil Nadu,South,,
Sandige,vegetarian,sweet,maincourse,Karnataka,South,,
Sevai,vegetarian,sweet,maincourse,Karnataka,South,,
Uttapam,vegetarian,spicy,breakfast,Tamil Nadu,South,,
medu Vada,vegetarian,spicy,breakfast,Karnataka,South,,
Chicken Varuval,non vegetarian,spicy,maincourse,Tamil Nadu,South,,
Upma,vegetarian,spicy,breakfast,Karnataka,south,,
Amti,vegetarian,spicy,maincourse,Maharashtra,West,,
Zunka,vegetarian,spicy,maincourse,Maharashtra,West,,
Kolim Jawla,non vegetarian,spicy,maincourse,Maharashtra,West,,
Saath,vegetarian,spicy,maincourse,Gujarat,West,,
Bajri no rotlo,vegetarian,spicy,maincourse,Gujarat,West,,
Coconut vadi,vegetarian,sweet,dessert,Maharashtra,West,,
Bhakri,vegetarian,Normal,Normal,Maharashtra,West,,
Bombil fry,non vegetarian,spicy,non vegmaincourse ,Maharashtra,West,,
Chakali,vegetarian,spicy,TraditionMah,Maharashtra,West,,
Daal Dhokli,vegetarian,spicy,maincourse,Gujarat,West,,
 dabeli,vegetarian,spicy,snack,Gujarat,West,,
Dahi vada,vegetarian,sweet,snack,Maharashtra,West,,
Dhokla,vegetarian,spicy,snack,Gujarat,West,,
Dudhi halwa,vegetarian,sweet,dessert,Gujarat,West,,
Gatta curry,vegetarian,spicy,maincourse,Rajasthan,West,,
Handwo,vegetarian,spicy,gujju,Gujarat,West,,
Khakhra,vegetarian,spicy,gujju,Gujarat,West,,
Khandvi,vegetarian,spicy,gujju,Gujarat,West,,
Kombdi vade,vegetarian,spicy,aagri,Maharashtra,West,,
Laapsi,vegetarian,spicy,aagri,Madhya Pradesh,Central,,
Koshimbir,vegetarian,spicy,maincourse,Maharashtra,West,,
Mohanthal,vegetarian,sweet,mithai,Gujarat,West,,
Pav Bhaji,vegetarian,spicy,maincourse,Maharashtra,West,,
Puri Bhaji,vegetarian,spicy,maincourse,Maharashtra,West,,
Sabudana Khichadi,vegetarian,spicy,snack,Maharashtra,West,,
Sev khamani,vegetarian,spicy,maincourse,Gujarat,West,,
Sev tameta,vegetarian,spicy,maincourse,Gujarat,West,,
Sukhdi,vegetarian,sweet,dessert,Maharashtra,West,,
Thalipeeth,vegetarian,spicy,maincourse,Maharashtra,West,,
Undhiyu,vegetarian,spicy,maincourse,Gujarat,West,,
Veg Kolhapuri,vegetarian,spicy,maincourse,Maharashtra,West,,
Black rice,non vegetarian,spicy,rice,Manipur,North East,60,
Prawn malai curry,non vegetarian,spicy,fish,West Bengal,East,250,
Bebinca,vegetarian,sweet,dessert,Goa,West,400/kg,
Mawa Bati,vegetarian,sweet,dessert,Madhya Pradesh,Central,400/kg,
Pinaca,vegetarian,sweet,dessert,Goa,West,300/kg,
vada pav,vegetarian,spicy,snack,Maharashtra,west,15,
veg momos,vegetarian,spicy,momos,kashmir,North ,80,
Puran Poli,vegetarian,sweet,maincourse,maharashtra,west,150,
Paplet fry,Non vegetarian,spicy,fish,maharashtra,west,250,
Prawns dry,non vegetarian,spicy,fish,maharashtra,west,250,
mutton dry,Non vegetarian,spicy,aagri,Maharashtra,west,300,
mutton curry,non vegetarian,spicy,aagri,Maharashtra,west,300,
chicken dry,non vegetarian,spicy,aagri,maharashtra,west,200,
chicken curry,non vegetarian,spicy,aagri,Maharashtra,west,200,
Kanda bhaji,,spicy,snack,maharashtra,west,20,
Misal pav,vegetarian,spicy,snack,Maharashtra,West,40,
mutton shawarma,Both,spicy,rolls,,,50,
custurd,vegetarian,sweet,dessert,,,,
besan laddu,vegetarian,sweet,laddu,Maharashtra,,,
boondi laddu,vegetarian,sweet,laddu,Maharashtra,,,
rava laddu,vegetarian,sweet,laddu,Maharashtra,,,
dryfruit laddu,vegetarian,sweet,laddu,Maharashtra,,,
